session_id,campaign_id,point_id,x_m,y_m,z_m,samples_per_anchor,A1_rssi_01,A1_rssi_02,A1_rssi_03,A1_rssi_04,A1_rssi_05,A1_rssi_06,A1_rssi_07,A1_rssi_08,A1_rssi_09,A1_rssi_10,A1_rssi_mean,A1_rssi_std,A1_rssi_min,A1_rssi_max,A1_rssi_median,A1_channel_mean,A1_sample_count,A2_rssi_01,A2_rssi_02,A2_rssi_03,A2_rssi_04,A2_rssi_05,A2_rssi_06,A2_rssi_07,A2_rssi_08,A2_rssi_09,A2_rssi_10,A2_rssi_mean,A2_rssi_std,A2_rssi_min,A2_rssi_max,A2_rssi_median,A2_channel_mean,A2_sample_count,A3_rssi_01,A3_rssi_02,A3_rssi_03,A3_rssi_04,A3_rssi_05,A3_rssi_06,A3_rssi_07,A3_rssi_08,A3_rssi_09,A3_rssi_10,A3_rssi_mean,A3_rssi_std,A3_rssi_min,A3_rssi_max,A3_rssi_median,A3_channel_mean,A3_sample_count
demo_s2,train_02,P01,0.6,3.0,0.5,10,-70.0,-64.0,-63.0,-65.0,-67.0,-66.0,-69.0,-65.0,-63.0,-64.0,-65.6,2.2891046284519194,-70.0,-63.0,-65.0,6.6,10.0,-83.0,-85.0,-85.0,-87.0,-85.0,-87.0,-81.0,-83.0,-79.0,-81.0,-83.6,2.537715508089904,-87.0,-79.0,-84.0,7.3,10.0,-78.0,-80.0,-87.0,-81.0,-89.0,-88.0,-89.0,-87.0,-85.0,-81.0,-84.5,3.905124837953327,-89.0,-78.0,-86.0,6.4,10.0
demo_s2,train_02,P02,1.5,3.0,0.5,10,-72.0,-71.0,-75.0,-62.0,-64.0,-67.0,-67.0,-70.0,-71.0,-72.0,-69.1,3.806573262134856,-75.0,-62.0,-70.5,6.8,10.0,-72.0,-72.0,-76.0,-82.0,-74.0,-77.0,-85.0,-80.0,-79.0,-82.0,-77.9,4.22965719651132,-85.0,-72.0,-78.0,9.0,10.0,-80.0,-80.0,-86.0,-79.0,-77.0,-76.0,-75.0,-77.0,-88.0,-81.0,-79.9,4.011234224026316,-88.0,-75.0,-79.5,8.2,10.0
demo_s2,train_02,P03,2.4,3.0,0.5,10,-68.0,-66.0,-69.0,-62.0,-61.0,-65.0,-65.0,-68.0,-67.0,-61.0,-65.2,2.8213471959331766,-69.0,-61.0,-65.5,7.2,10.0,-71.0,-73.0,-66.0,-65.0,-67.0,-67.0,-67.0,-69.0,-69.0,-66.0,-68.0,2.3664319132398464,-73.0,-65.0,-67.0,7.0,10.0,-73.0,-71.0,-76.0,-79.0,-76.0,-74.0,-71.0,-85.0,-78.0,-81.0,-76.4,4.24735211631906,-85.0,-71.0,-76.0,6.8,10.0
demo_s2,train_02,P04,3.3,3.0,0.5,10,-71.0,-70.0,-70.0,-70.0,-71.0,-72.0,-72.0,-73.0,-72.0,-71.0,-71.2,0.9797958971132711,-73.0,-70.0,-71.0,6.8,10.0,-73.0,-75.0,-79.0,-76.0,-75.0,-76.0,-78.0,-75.0,-75.0,-72.0,-75.4,1.9595917942265422,-79.0,-72.0,-75.0,7.4,10.0,-72.0,-71.0,-74.0,-69.0,-71.0,-69.0,-71.0,-77.0,-70.0,-68.0,-71.2,2.521904042583698,-77.0,-68.0,-71.0,7.8,10.0
demo_s2,train_02,P05,4.2,3.0,0.5,10,-69.0,-68.0,-69.0,-69.0,-67.0,-68.0,-68.0,-68.0,-70.0,-69.0,-68.5,0.806225774829855,-70.0,-67.0,-68.5,7.8,10.0,-66.0,-64.0,-67.0,-70.0,-69.0,-70.0,-70.0,-65.0,-63.0,-65.0,-66.9,2.5475478405713994,-70.0,-63.0,-66.5,7.3,10.0,-73.0,-76.0,-72.0,-70.0,-73.0,-74.0,-75.0,-73.0,-72.0,-71.0,-72.9,1.7,-76.0,-70.0,-73.0,5.9,10.0
demo_s2,train_02,P06,5.1,3.0,0.5,10,-85.0,-79.0,-76.0,-74.0,-75.0,-74.0,-72.0,-75.0,-75.0,-78.0,-76.3,3.4655446902326914,-85.0,-72.0,-75.0,9.2,10.0,-76.0,-74.0,-77.0,-69.0,-72.0,-70.0,-69.0,-71.0,-74.0,-75.0,-72.7,2.758622844826745,-77.0,-69.0,-73.0,6.8,10.0,-79.0,-77.0,-74.0,-75.0,-83.0,-87.0,-83.0,-78.0,-76.0,-87.0,-79.9,4.548626166217663,-87.0,-74.0,-78.5,7.2,10.0
demo_s2,train_02,P07,5.1,2.1,0.5,10,-91.0,-86.0,-85.0,-74.0,-75.0,-83.0,-81.0,-82.0,-75.0,-73.0,-80.5,5.73149195236284,-91.0,-73.0,-81.5,7.8,10.0,-67.0,-68.0,-69.0,-66.0,-65.0,-62.0,-67.0,-69.0,-67.0,-65.0,-66.5,2.0124611797498106,-69.0,-62.0,-67.0,8.0,10.0,-76.0,-80.0,-74.0,-75.0,-74.0,-66.0,-76.0,-77.0,-83.0,-82.0,-76.3,4.583666654546336,-83.0,-66.0,-76.0,7.6,10.0
demo_s2,train_02,P08,4.2,2.1,0.5,10,-73.0,-69.0,-70.0,-69.0,-68.0,-70.0,-72.0,-73.0,-79.0,-78.0,-72.1,3.590264614203248,-79.0,-68.0,-71.0,7.2,10.0,-71.0,-70.0,-72.0,-62.0,-63.0,-64.0,-63.0,-66.0,-73.0,-63.0,-66.7,4.1000000000000005,-73.0,-62.0,-65.0,6.6,10.0,-78.0,-71.0,-71.0,-73.0,-74.0,-72.0,-74.0,-78.0,-73.0,-71.0,-73.5,2.5,-78.0,-71.0,-73.0,6.2,10.0
demo_s2,train_02,P09,3.3,2.1,0.5,10,-67.0,-65.0,-67.0,-68.0,-69.0,-65.0,-66.0,-64.0,-63.0,-66.0,-66.0,1.7320508075688772,-69.0,-63.0,-66.0,6.0,10.0,-86.0,-90.0,-88.0,-78.0,-75.0,-72.0,-71.0,-70.0,-68.0,-76.0,-77.4,7.525955088890711,-90.0,-68.0,-75.5,7.7,10.0,-73.0,-75.0,-76.0,-68.0,-70.0,-75.0,-73.0,-71.0,-76.0,-65.0,-72.2,3.4871191548325386,-76.0,-65.0,-73.0,6.6,10.0
demo_s2,train_02,P10,2.4,2.1,1.0,10,-68.0,-67.0,-68.0,-71.0,-69.0,-72.0,-63.0,-64.0,-67.0,-66.0,-67.5,2.6551836094703507,-72.0,-63.0,-67.5,6.6,10.0,-68.0,-67.0,-69.0,-70.0,-70.0,-68.0,-67.0,-69.0,-68.0,-67.0,-68.3,1.0999999999999999,-70.0,-67.0,-68.0,6.0,10.0,-72.0,-75.0,-75.0,-79.0,-75.0,-73.0,-73.0,-73.0,-72.0,-75.0,-74.2,1.98997487421324,-79.0,-72.0,-74.0,7.4,10.0
