point_id,x_m,y_m,z_m,started_at,capture_complete_at,completed_at,status,samples_per_anchor,A1_count,A2_count,A3_count
P01,0.6,3.0,0.5,2026-03-15T19:21:06.818185-03:00,2026-03-15T19:28:26.621389-03:00,2026-03-15T19:28:32.543846-03:00,complete,10,10,10,10
P02,1.5,3.0,0.5,2026-03-15T19:28:59.287330-03:00,2026-03-15T19:31:13.767850-03:00,2026-03-15T19:32:20.067093-03:00,complete,10,10,10,10
P03,2.4,3.0,0.5,2026-03-15T19:32:44.006869-03:00,2026-03-15T19:35:29.649250-03:00,2026-03-15T19:35:47.586812-03:00,complete,10,10,10,10
P04,3.3,3.0,0.5,2026-03-15T19:36:20.269394-03:00,2026-03-15T19:44:58.643929-03:00,2026-03-15T19:45:09.617566-03:00,complete,10,10,10,10
P05,4.2,3.0,0.5,2026-03-15T19:45:42.222452-03:00,2026-03-15T19:46:58.529815-03:00,2026-03-15T19:47:14.491846-03:00,complete,10,10,10,10
P06,5.1,3.0,0.5,2026-03-15T19:47:39.267811-03:00,2026-03-15T19:51:13.021527-03:00,2026-03-15T19:51:37.024216-03:00,complete,10,10,10,10
P07,5.1,2.1,0.5,2026-03-15T19:52:52.804614-03:00,2026-03-15T19:54:10.755165-03:00,2026-03-15T19:54:24.376165-03:00,complete,10,10,10,10
P08,4.2,2.1,0.5,2026-03-15T19:54:55.919003-03:00,2026-03-15T19:57:07.402738-03:00,2026-03-15T19:57:49.749550-03:00,complete,10,10,10,10
P09,3.3,2.1,0.5,2026-03-15T19:58:16.039668-03:00,2026-03-15T19:58:52.839151-03:00,2026-03-15T19:59:07.351588-03:00,complete,10,10,10,10
P10,2.4,2.1,1.0,2026-03-15T19:59:45.414522-03:00,2026-03-15T20:05:47.977642-03:00,2026-03-15T20:06:08.405765-03:00,complete,10,10,10,10
P11,1.5,2.1,0.5,2026-03-15T20:06:40.637962-03:00,2026-03-15T20:11:31.540961-03:00,2026-03-15T20:11:40.501739-03:00,complete,10,10,10,10
P12,0.6,2.1,1.0,2026-03-15T20:12:06.566834-03:00,2026-03-15T20:14:51.013575-03:00,2026-03-15T20:15:02.999835-03:00,complete,10,10,10,10
P13,0.6,1.2,1.0,2026-03-15T20:15:53.395525-03:00,2026-03-15T20:26:59.989253-03:00,2026-03-15T20:27:05.429896-03:00,complete,10,10,10,10
P14,1.5,1.2,0.5,2026-03-15T20:27:34.255551-03:00,2026-03-15T20:30:29.891498-03:00,2026-03-15T20:31:57.651535-03:00,complete,10,10,10,10
P15,2.4,1.2,1.0,2026-03-15T20:33:12.991850-03:00,2026-03-15T20:33:34.771199-03:00,2026-03-15T20:33:58.324729-03:00,complete,10,10,10,10
P16,3.3,1.2,0.5,2026-03-15T20:34:32.163447-03:00,2026-03-15T20:40:51.131183-03:00,2026-03-15T20:40:58.584912-03:00,complete,10,10,10,10
P17,4.2,1.2,0.5,2026-03-15T20:41:47.552689-03:00,2026-03-15T20:44:08.875481-03:00,2026-03-15T20:44:17.243546-03:00,complete,10,10,10,10
P18,5.1,1.2,0.5,2026-03-15T20:45:08.369417-03:00,2026-03-15T20:50:41.121583-03:00,2026-03-15T20:50:46.046392-03:00,complete,10,10,10,10
