point_id,x_m,y_m,z_m,started_at,capture_complete_at,completed_at,status,samples_per_anchor,A1_count,A2_count,A3_count,A4_count
P01,0.6,3.0,1.0,2026-03-23T15:59:42.503042-03:00,2026-03-23T16:27:01.590394-03:00,2026-03-23T16:27:17.873321-03:00,complete,10,10,10,10,10
P02,1.5,3.0,1.0,2026-03-23T16:28:04.401595-03:00,2026-03-23T16:32:33.885739-03:00,2026-03-23T16:32:56.887624-03:00,complete,10,10,10,10,10
P03,2.4,3.0,0.5,2026-03-23T16:33:39.863799-03:00,2026-03-23T16:36:49.222174-03:00,2026-03-23T16:37:00.159184-03:00,complete,10,10,10,10,10
P04,3.3,3.0,0.5,2026-03-23T16:37:45.139596-03:00,2026-03-23T16:41:03.838347-03:00,2026-03-23T16:45:13.308905-03:00,complete,10,10,10,10,10
P05,4.2,3.0,0.5,2026-03-23T16:46:05.067680-03:00,2026-03-23T16:48:56.580808-03:00,2026-03-23T16:49:18.977631-03:00,complete,10,10,10,10,10
P06,5.1,3.0,0.5,2026-03-23T16:49:39.836709-03:00,2026-03-23T16:58:04.884359-03:00,2026-03-23T16:58:24.751079-03:00,complete,10,10,10,10,10
P07,5.1,2.1,0.5,2026-03-23T16:58:52.937051-03:00,2026-03-23T17:01:02.869838-03:00,2026-03-23T17:01:23.193586-03:00,complete,10,10,10,10,10
P08,4.2,2.1,0.5,2026-03-23T17:01:47.114577-03:00,2026-03-23T17:06:32.673938-03:00,2026-03-23T17:06:54.125182-03:00,complete,10,10,10,10,10
P09,3.3,2.1,0.5,2026-03-23T17:07:20.464297-03:00,2026-03-23T17:11:13.326247-03:00,2026-03-23T17:11:38.736563-03:00,complete,10,10,10,10,10
P10,2.4,2.1,1.0,2026-03-23T17:12:24.926822-03:00,2026-03-23T17:15:40.206412-03:00,2026-03-23T17:15:55.563910-03:00,complete,10,10,10,10,10
P11,1.5,2.1,0.5,2026-03-23T17:16:26.745614-03:00,2026-03-23T17:21:01.468110-03:00,2026-03-23T17:21:22.998808-03:00,complete,10,10,10,10,10
P12,0.6,2.1,1.0,2026-03-23T17:21:59.295899-03:00,2026-03-23T17:24:19.341347-03:00,2026-03-23T17:24:42.555604-03:00,complete,10,10,10,10,10
P13,0.6,1.2,1.0,2026-03-23T17:25:09.276100-03:00,2026-03-23T17:27:15.689448-03:00,2026-03-23T17:27:39.013767-03:00,complete,10,10,10,10,10
P14,1.5,1.2,0.5,2026-03-23T17:28:20.446834-03:00,2026-03-23T17:35:25.072330-03:00,2026-03-23T17:35:40.921734-03:00,complete,10,10,10,10,10
P15,2.4,1.2,1.0,2026-03-23T17:36:31.213299-03:00,2026-03-23T17:41:06.328716-03:00,2026-03-23T17:41:26.415431-03:00,complete,10,10,10,10,10
P16,3.3,1.2,0.5,2026-03-23T17:41:57.259844-03:00,2026-03-23T17:48:31.884919-03:00,2026-03-23T17:48:38.514637-03:00,complete,10,10,10,10,10
P17,4.2,1.2,0.5,2026-03-23T17:49:21.633219-03:00,2026-03-23T18:00:56.460029-03:00,2026-03-23T18:01:15.043554-03:00,complete,10,10,10,10,10
P18,5.1,1.2,0.5,2026-03-23T18:01:49.429462-03:00,2026-03-23T18:06:10.328959-03:00,2026-03-23T18:06:29.191109-03:00,complete,10,10,10,10,10
