session_id,campaign_id,point_id,x_m,y_m,z_m,samples_per_anchor,A1_rssi_01,A1_rssi_02,A1_rssi_03,A1_rssi_04,A1_rssi_05,A1_rssi_06,A1_rssi_07,A1_rssi_08,A1_rssi_09,A1_rssi_10,A1_rssi_11,A1_rssi_12,A1_rssi_13,A1_rssi_14,A1_rssi_15,A1_rssi_16,A1_rssi_17,A1_rssi_18,A1_rssi_19,A1_rssi_20,A1_rssi_21,A1_rssi_22,A1_rssi_23,A1_rssi_24,A1_rssi_25,A1_rssi_26,A1_rssi_27,A1_rssi_28,A1_rssi_29,A1_rssi_30,A1_rssi_31,A1_rssi_32,A1_rssi_33,A1_rssi_34,A1_rssi_35,A1_rssi_36,A1_rssi_37,A1_rssi_38,A1_rssi_39,A1_rssi_40,A1_rssi_41,A1_rssi_42,A1_rssi_43,A1_rssi_44,A1_rssi_45,A1_rssi_46,A1_rssi_47,A1_rssi_48,A1_rssi_49,A1_rssi_50,A1_rssi_mean,A1_rssi_std,A1_rssi_min,A1_rssi_max,A1_rssi_median,A1_channel_mean,A1_sample_count,A2_rssi_01,A2_rssi_02,A2_rssi_03,A2_rssi_04,A2_rssi_05,A2_rssi_06,A2_rssi_07,A2_rssi_08,A2_rssi_09,A2_rssi_10,A2_rssi_11,A2_rssi_12,A2_rssi_13,A2_rssi_14,A2_rssi_15,A2_rssi_16,A2_rssi_17,A2_rssi_18,A2_rssi_19,A2_rssi_20,A2_rssi_21,A2_rssi_22,A2_rssi_23,A2_rssi_24,A2_rssi_25,A2_rssi_26,A2_rssi_27,A2_rssi_28,A2_rssi_29,A2_rssi_30,A2_rssi_31,A2_rssi_32,A2_rssi_33,A2_rssi_34,A2_rssi_35,A2_rssi_36,A2_rssi_37,A2_rssi_38,A2_rssi_39,A2_rssi_40,A2_rssi_41,A2_rssi_42,A2_rssi_43,A2_rssi_44,A2_rssi_45,A2_rssi_46,A2_rssi_47,A2_rssi_48,A2_rssi_49,A2_rssi_50,A2_rssi_mean,A2_rssi_std,A2_rssi_min,A2_rssi_max,A2_rssi_median,A2_channel_mean,A2_sample_count,A3_rssi_01,A3_rssi_02,A3_rssi_03,A3_rssi_04,A3_rssi_05,A3_rssi_06,A3_rssi_07,A3_rssi_08,A3_rssi_09,A3_rssi_10,A3_rssi_11,A3_rssi_12,A3_rssi_13,A3_rssi_14,A3_rssi_15,A3_rssi_16,A3_rssi_17,A3_rssi_18,A3_rssi_19,A3_rssi_20,A3_rssi_21,A3_rssi_22,A3_rssi_23,A3_rssi_24,A3_rssi_25,A3_rssi_26,A3_rssi_27,A3_rssi_28,A3_rssi_29,A3_rssi_30,A3_rssi_31,A3_rssi_32,A3_rssi_33,A3_rssi_34,A3_rssi_35,A3_rssi_36,A3_rssi_37,A3_rssi_38,A3_rssi_39,A3_rssi_40,A3_rssi_41,A3_rssi_42,A3_rssi_43,A3_rssi_44,A3_rssi_45,A3_rssi_46,A3_rssi_47,A3_rssi_48,A3_rssi_49,A3_rssi_50,A3_rssi_mean,A3_rssi_std,A3_rssi_min,A3_rssi_max,A3_rssi_median,A3_channel_mean,A3_sample_count,A4_rssi_01,A4_rssi_02,A4_rssi_03,A4_rssi_04,A4_rssi_05,A4_rssi_06,A4_rssi_07,A4_rssi_08,A4_rssi_09,A4_rssi_10,A4_rssi_11,A4_rssi_12,A4_rssi_13,A4_rssi_14,A4_rssi_15,A4_rssi_16,A4_rssi_17,A4_rssi_18,A4_rssi_19,A4_rssi_20,A4_rssi_21,A4_rssi_22,A4_rssi_23,A4_rssi_24,A4_rssi_25,A4_rssi_26,A4_rssi_27,A4_rssi_28,A4_rssi_29,A4_rssi_30,A4_rssi_31,A4_rssi_32,A4_rssi_33,A4_rssi_34,A4_rssi_35,A4_rssi_36,A4_rssi_37,A4_rssi_38,A4_rssi_39,A4_rssi_40,A4_rssi_41,A4_rssi_42,A4_rssi_43,A4_rssi_44,A4_rssi_45,A4_rssi_46,A4_rssi_47,A4_rssi_48,A4_rssi_49,A4_rssi_50,A4_rssi_mean,A4_rssi_std,A4_rssi_min,A4_rssi_max,A4_rssi_median,A4_channel_mean,A4_sample_count
demo_s5,train_05,P01,0.6,3.0,0.4,50,-65.0,-66.0,-65.0,-65.0,-66.0,-65.0,-65.0,-65.0,-65.0,-66.0,-65.0,-65.0,-66.0,-65.0,-66.0,-65.0,-65.0,-66.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-66.0,-65.0,-65.0,-65.0,-66.0,-65.0,-66.0,-65.0,-65.0,-66.0,-66.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-66.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.24,0.4270831300812525,-66.0,-65.0,-65.0,1.0,50.0,-62.0,-63.0,-63.0,-63.0,-63.0,-63.0,-62.0,-62.0,-63.0,-63.0,-62.0,-63.0,-63.0,-63.0,-63.0,-62.0,-62.0,-62.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-62.0,-63.0,-63.0,-62.0,-63.0,-63.0,-63.0,-62.0,-63.0,-63.0,-62.0,-63.0,-62.0,-62.0,-62.0,-63.0,-62.0,-63.0,-63.0,-63.0,-63.0,-62.0,-63.0,-63.0,-62.0,-63.0,-62.66,0.4737087712930805,-63.0,-62.0,-63.0,1.0,50.0,-70.0,-70.0,-70.0,-69.0,-69.0,-69.0,-69.0,-70.0,-70.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-68.0,-70.0,-69.0,-69.0,-69.0,-69.0,-70.0,-69.0,-68.0,-69.0,-69.0,-70.0,-69.0,-69.0,-70.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-70.0,-69.0,-70.0,-70.0,-69.0,-70.0,-70.0,-70.0,-68.0,-69.0,-70.0,-70.0,-69.0,-69.0,-69.28,0.5670978751503131,-70.0,-68.0,-69.0,1.0,50.0,-65.0,-65.0,-66.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-64.0,-65.0,-65.0,-64.0,-65.0,-65.0,-65.0,-65.0,-64.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-64.0,-65.0,-64.0,-65.0,-65.0,-65.0,-64.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-64.0,-64.88,0.3815756805667782,-66.0,-64.0,-65.0,1.0,50.0
demo_s5,train_05,P02,1.5,3.0,0.4,50,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-64.0,-64.0,-63.0,-64.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.06,0.23748684174075835,-64.0,-63.0,-63.0,1.0,50.0,-69.0,-69.0,-69.0,-68.0,-68.0,-69.0,-69.0,-69.0,-69.0,-68.0,-68.0,-69.0,-69.0,-68.0,-70.0,-68.0,-69.0,-69.0,-69.0,-70.0,-68.0,-69.0,-69.0,-71.0,-69.0,-69.0,-69.0,-69.0,-69.0,-68.0,-69.0,-68.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-68.0,-69.0,-68.0,-67.0,-69.0,-69.0,-68.0,-69.0,-69.0,-68.0,-69.0,-68.0,-68.76,0.6499230723708768,-71.0,-67.0,-69.0,1.0,50.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-61.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-61.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-61.0,-61.0,-60.0,-60.0,-61.0,-60.0,-61.0,-60.12,0.3249615361854384,-61.0,-60.0,-60.0,1.0,50.0,-57.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-55.0,-56.0,-56.0,-56.0,-55.0,-56.0,-56.0,-55.0,-55.0,-56.0,-55.0,-56.0,-56.0,-56.0,-56.0,-56.0,-55.0,-56.0,-55.0,-56.0,-56.0,-55.0,-56.0,-56.0,-56.0,-56.0,-56.0,-58.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-55.0,-56.0,-55.0,-56.0,-55.0,-56.0,-56.0,-56.0,-55.84,0.5425863986500215,-58.0,-55.0,-56.0,1.0,50.0
demo_s5,train_05,P03,2.4,3.0,0.4,50,-59.0,-59.0,-58.0,-59.0,-59.0,-59.0,-60.0,-59.0,-59.0,-59.0,-59.0,-59.0,-58.0,-59.0,-59.0,-58.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-60.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-58.98,0.31559467676119,-60.0,-58.0,-59.0,1.0,50.0,-69.0,-68.0,-68.0,-68.0,-69.0,-68.0,-68.0,-69.0,-68.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-68.0,-69.0,-68.0,-68.0,-69.0,-68.0,-68.0,-68.0,-69.0,-68.0,-68.0,-68.0,-68.0,-69.0,-69.0,-68.0,-69.0,-68.0,-68.0,-68.0,-69.0,-68.0,-70.0,-68.0,-69.0,-69.0,-69.0,-69.0,-69.0,-68.0,-69.0,-69.0,-69.0,-68.0,-68.0,-68.52,0.5381449618829485,-70.0,-68.0,-68.5,1.0,50.0,-54.0,-53.0,-53.0,-53.0,-53.0,-54.0,-54.0,-53.0,-53.0,-53.0,-53.0,-53.0,-54.0,-54.0,-54.0,-53.0,-53.0,-54.0,-53.0,-53.0,-53.0,-53.0,-53.0,-54.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-54.0,-53.0,-53.0,-53.0,-53.0,-54.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.2,0.4,-54.0,-53.0,-53.0,1.0,50.0,-70.0,-69.0,-69.0,-70.0,-69.0,-69.0,-69.0,-70.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-68.0,-68.0,-70.0,-70.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-70.0,-70.0,-69.0,-70.0,-69.0,-70.0,-69.0,-69.0,-70.0,-69.0,-69.0,-69.0,-70.0,-70.0,-69.0,-69.0,-70.0,-69.0,-69.0,-70.0,-69.24,0.5122499389946279,-70.0,-68.0,-69.0,1.0,50.0
demo_s5,train_05,P04,3.3,3.0,0.5,50,-61.0,-62.0,-61.0,-61.0,-61.0,-61.0,-61.0,-62.0,-61.0,-62.0,-61.0,-61.0,-62.0,-62.0,-62.0,-61.0,-61.0,-61.0,-62.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-62.0,-61.0,-61.0,-62.0,-62.0,-62.0,-61.0,-61.0,-62.0,-61.0,-61.0,-61.0,-61.0,-62.0,-61.0,-62.0,-61.0,-61.0,-61.0,-62.0,-61.0,-61.0,-62.0,-61.32,0.466476151587624,-62.0,-61.0,-61.0,1.0,50.0,-58.0,-58.0,-58.0,-57.0,-57.0,-58.0,-57.0,-57.0,-57.0,-57.0,-57.0,-58.0,-57.0,-58.0,-57.0,-58.0,-58.0,-57.0,-58.0,-58.0,-57.0,-57.0,-58.0,-57.0,-58.0,-58.0,-57.0,-58.0,-58.0,-58.0,-57.0,-57.0,-57.0,-57.0,-58.0,-57.0,-57.0,-57.0,-57.0,-57.0,-58.0,-57.0,-57.0,-57.0,-57.0,-58.0,-57.0,-57.0,-58.0,-58.0,-57.42,0.4935585071701226,-58.0,-57.0,-57.0,1.0,50.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-55.0,-55.0,-56.0,-55.0,-56.0,-55.0,-56.0,-56.0,-56.0,-55.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-55.0,-56.0,-55.0,-56.0,-56.0,-56.0,-55.0,-55.0,-55.0,-56.0,-56.0,-56.0,-56.0,-56.0,-55.0,-55.78,0.41424630354415964,-56.0,-55.0,-56.0,1.0,50.0,-58.0,-58.0,-58.0,-58.0,-58.0,-57.0,-58.0,-58.0,-58.0,-57.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-57.0,-58.0,-58.0,-58.0,-58.0,-57.0,-57.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-57.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-57.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-57.86,0.34698703145794946,-58.0,-57.0,-58.0,1.0,50.0
demo_s5,train_05,P05,4.2,3.0,0.5,50,-64.0,-64.0,-64.0,-64.0,-64.0,-65.0,-64.0,-64.0,-64.0,-64.0,-65.0,-64.0,-64.0,-64.0,-63.0,-64.0,-64.0,-65.0,-64.0,-64.0,-64.0,-64.0,-64.0,-65.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-65.0,-64.0,-64.0,-65.0,-64.0,-64.0,-64.0,-65.0,-64.0,-65.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.14,0.4004996878900157,-65.0,-63.0,-64.0,1.0,50.0,-61.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-59.0,-60.0,-59.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-61.0,-60.0,-61.0,-59.0,-61.0,-60.0,-60.0,-60.0,-60.0,-60.0,-59.0,-60.0,-60.0,-61.0,-60.0,-59.0,-60.0,-60.0,-59.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-59.98,0.4686149805543993,-61.0,-59.0,-60.0,1.0,50.0,-76.0,-77.0,-76.0,-76.0,-77.0,-76.0,-76.0,-77.0,-75.0,-75.0,-76.0,-77.0,-76.0,-76.0,-76.0,-75.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-77.0,-77.0,-76.0,-76.0,-76.0,-77.0,-76.0,-76.0,-76.0,-76.0,-77.0,-76.0,-76.0,-76.0,-75.0,-75.0,-77.0,-76.0,-76.0,-76.08,0.5230678732248808,-77.0,-75.0,-76.0,1.0,50.0,-65.0,-65.0,-65.0,-65.0,-66.0,-65.0,-66.0,-65.0,-66.0,-66.0,-66.0,-66.0,-65.0,-65.0,-65.0,-65.0,-66.0,-66.0,-66.0,-65.0,-66.0,-65.0,-66.0,-66.0,-66.0,-65.0,-66.0,-66.0,-66.0,-66.0,-66.0,-65.0,-66.0,-66.0,-66.0,-66.0,-65.0,-66.0,-66.0,-66.0,-65.0,-65.0,-65.0,-66.0,-66.0,-66.0,-66.0,-65.0,-65.0,-66.0,-65.6,0.4898979485566356,-66.0,-65.0,-66.0,1.0,50.0
demo_s5,train_05,P06,5.1,3.0,0.5,50,-61.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-63.0,-62.0,-62.0,-62.0,-62.0,-62.0,-61.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-63.0,-62.0,-62.0,-62.0,-62.0,-62.0,-63.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-61.0,-62.0,-62.0,-62.0,-63.0,-62.0,-62.0,-61.0,-62.0,-62.0,0.4,-63.0,-61.0,-62.0,1.0,50.0,-57.0,-58.0,-58.0,-57.0,-57.0,-57.0,-57.0,-57.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-57.0,-58.0,-57.0,-57.0,-57.0,-58.0,-57.0,-57.0,-58.0,-57.0,-57.0,-57.0,-58.0,-57.0,-58.0,-57.0,-58.0,-57.0,-57.0,-58.0,-58.0,-58.0,-57.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-59.0,-57.0,-58.0,-57.0,-57.58,0.532541078227774,-59.0,-57.0,-58.0,1.0,50.0,-79.0,-78.0,-78.0,-79.0,-79.0,-78.0,-79.0,-78.0,-78.0,-78.0,-77.0,-79.0,-78.0,-78.0,-78.0,-78.0,-77.0,-78.0,-79.0,-78.0,-78.0,-79.0,-78.0,-78.0,-79.0,-78.0,-78.0,-78.0,-78.0,-78.0,-78.0,-78.0,-77.0,-77.0,-78.0,-78.0,-77.0,-78.0,-78.0,-78.0,-78.0,-78.0,-78.0,-78.0,-79.0,-79.0,-78.0,-78.0,-78.0,-78.0,-78.1,0.5385164807134504,-79.0,-77.0,-78.0,1.0,50.0,-62.0,-62.0,-61.0,-62.0,-62.0,-62.0,-62.0,-62.0,-63.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-63.0,-62.0,-62.0,-61.0,-62.0,-63.0,-62.0,-63.0,-62.0,-62.0,-62.0,-63.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-63.0,-62.0,-65.0,-65.0,-65.0,-65.0,-65.0,-83.0,-64.0,-62.0,-62.0,-63.0,-62.0,-61.0,-62.84,3.0486718419665966,-83.0,-61.0,-62.0,1.0,50.0
demo_s5,train_05,P07,5.1,2.1,0.5,50,-76.0,-77.0,-77.0,-76.0,-76.0,-77.0,-76.0,-73.0,-86.0,-87.0,-74.0,-72.0,-73.0,-87.0,-86.0,-88.0,-88.0,-85.0,-87.0,-85.0,-86.0,-86.0,-71.0,-69.0,-68.0,-73.0,-74.0,-78.0,-72.0,-71.0,-68.0,-66.0,-66.0,-66.0,-70.0,-73.0,-75.0,-78.0,-77.0,-66.0,-69.0,-77.0,-80.0,-78.0,-75.0,-74.0,-72.0,-76.0,-77.0,-79.0,-76.32,6.420093457263686,-88.0,-66.0,-76.0,1.0,50.0,-51.0,-52.0,-52.0,-53.0,-52.0,-52.0,-61.0,-87.0,-90.0,-89.0,-89.0,-89.0,-90.0,-90.0,-86.0,-87.0,-89.0,-90.0,-88.0,-63.0,-53.0,-62.0,-91.0,-91.0,-90.0,-88.0,-90.0,-88.0,-88.0,-87.0,-89.0,-88.0,-88.0,-90.0,-87.0,-89.0,-92.0,-91.0,-89.0,-88.0,-88.0,-87.0,-86.0,-90.0,-90.0,-90.0,-90.0,-87.0,-61.0,-87.0,-81.5,13.970325694127535,-92.0,-51.0,-88.0,1.0,50.0,-72.0,-73.0,-72.0,-72.0,-73.0,-89.0,-73.0,-87.0,-62.0,-63.0,-64.0,-73.0,-69.0,-69.0,-69.0,-72.0,-72.0,-71.0,-72.0,-72.0,-73.0,-72.0,-72.0,-72.0,-72.0,-72.0,-72.0,-71.0,-72.0,-72.0,-71.0,-72.0,-72.0,-72.0,-72.0,-71.0,-71.0,-71.0,-72.0,-72.0,-72.0,-73.0,-73.0,-72.0,-72.0,-72.0,-72.0,-72.0,-73.0,-73.0,-71.98,4.002449250146715,-89.0,-62.0,-72.0,1.0,50.0,-60.0,-60.0,-59.0,-60.0,-60.0,-93.0,-62.0,-96.0,-95.0,-96.0,-69.0,-92.0,-94.0,-70.0,-69.0,-69.0,-69.0,-68.0,-69.0,-69.0,-69.0,-68.0,-69.0,-67.0,-69.0,-69.0,-69.0,-69.0,-69.0,-70.0,-69.0,-69.0,-69.0,-68.0,-67.0,-68.0,-69.0,-68.0,-69.0,-68.0,-68.0,-69.0,-69.0,-68.0,-69.0,-68.0,-68.0,-69.0,-68.0,-69.0,-70.72,9.176142980577406,-96.0,-59.0,-69.0,1.0,50.0
demo_s5,train_05,P08,4.2,2.1,0.5,50,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-54.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-52.0,-53.0,-54.0,-56.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-52.0,-53.0,-53.0,-53.0,-53.0,-53.06,0.5063595560468865,-56.0,-52.0,-53.0,1.0,50.0,-63.0,-64.0,-63.0,-64.0,-63.0,-64.0,-64.0,-63.0,-63.0,-64.0,-63.0,-63.0,-63.0,-63.0,-64.0,-64.0,-64.0,-63.0,-64.0,-64.0,-63.0,-63.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-63.0,-64.0,-63.0,-64.0,-63.0,-63.0,-64.0,-63.0,-64.0,-64.0,-61.0,-63.0,-64.0,-63.0,-64.0,-64.0,-64.0,-64.0,-63.0,-64.0,-63.54,0.6069596362197407,-64.0,-61.0,-64.0,1.0,50.0,-62.0,-63.0,-63.0,-62.0,-63.0,-63.0,-63.0,-62.0,-63.0,-63.0,-64.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-62.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-62.0,-63.0,-62.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-62.0,-63.0,-63.0,-63.0,-63.0,-62.88,0.3815756805667782,-64.0,-62.0,-63.0,1.0,50.0,-62.0,-65.0,-65.0,-65.0,-65.0,-64.0,-65.0,-65.0,-65.0,-64.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-64.0,-65.0,-64.0,-65.0,-64.0,-65.0,-64.0,-64.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-64.0,-65.0,-65.0,-64.78,0.5399999999999999,-65.0,-62.0,-65.0,1.0,50.0
demo_s5,train_05,P09,3.3,2.1,0.5,50,-63.0,-64.0,-64.0,-64.0,-64.0,-64.0,-63.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-63.0,-63.0,-65.0,-64.0,-63.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-63.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-63.9,0.36055512754639896,-65.0,-63.0,-64.0,1.0,50.0,-59.0,-59.0,-59.0,-59.0,-59.0,-60.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-60.0,-60.0,-60.0,-59.0,-59.0,-59.0,-60.0,-59.0,-59.0,-59.0,-59.0,-58.0,-59.0,-59.0,-59.0,-59.0,-60.0,-60.0,-59.0,-59.0,-59.0,-60.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.14,0.4004996878900157,-60.0,-58.0,-59.0,1.0,50.0,-63.0,-62.0,-63.0,-63.0,-63.0,-62.0,-63.0,-62.0,-63.0,-63.0,-63.0,-63.0,-62.0,-62.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-62.0,-63.0,-63.0,-63.0,-62.0,-63.0,-63.0,-63.0,-63.0,-62.0,-63.0,-63.0,-63.0,-62.0,-63.0,-63.0,-63.0,-63.0,-62.0,-62.0,-63.0,-62.0,-62.0,-63.0,-63.0,-62.0,-62.0,-62.7,0.458257569495584,-63.0,-62.0,-63.0,1.0,50.0,-79.0,-74.0,-79.0,-78.0,-78.0,-79.0,-77.0,-77.0,-79.0,-78.0,-79.0,-79.0,-77.0,-78.0,-78.0,-78.0,-78.0,-79.0,-78.0,-79.0,-78.0,-79.0,-79.0,-79.0,-80.0,-79.0,-78.0,-79.0,-77.0,-78.0,-78.0,-78.0,-79.0,-79.0,-79.0,-79.0,-79.0,-78.0,-77.0,-78.0,-79.0,-79.0,-78.0,-78.0,-78.0,-78.0,-78.0,-76.0,-78.0,-78.0,-78.22,0.9651942809610924,-80.0,-74.0,-78.0,1.0,50.0
demo_s5,train_05,P10,2.4,2.1,1.0,50,-66.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-66.0,-66.0,-67.0,-67.0,-68.0,-73.0,-67.0,-73.0,-62.0,-64.0,-63.0,-65.0,-65.0,-65.0,-68.0,-68.0,-69.0,-77.0,-80.0,-81.0,-80.0,-80.0,-81.0,-70.0,-70.0,-70.0,-74.0,-72.0,-70.0,-70.0,-69.0,-70.0,-80.0,-76.0,-73.0,-63.0,-63.0,-77.0,-69.7,5.154609587543949,-81.0,-62.0,-67.5,1.0,50.0,-61.0,-61.0,-61.0,-61.0,-61.0,-60.0,-61.0,-60.0,-60.0,-60.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-60.0,-64.0,-71.0,-72.0,-64.0,-64.0,-64.0,-64.0,-64.0,-66.0,-74.0,-67.0,-71.0,-71.0,-71.0,-69.0,-69.0,-69.0,-71.0,-73.0,-73.0,-68.0,-68.0,-77.0,-77.0,-82.0,-80.0,-81.0,-80.0,-81.0,-81.0,-81.0,-81.0,-80.0,-68.4,7.464583042608609,-82.0,-60.0,-67.5,1.0,50.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-61.0,-69.0,-70.0,-70.0,-68.0,-61.0,-71.0,-61.0,-69.0,-70.0,-94.0,-93.0,-57.0,-55.0,-54.0,-55.0,-63.0,-64.0,-65.0,-64.0,-65.0,-65.0,-65.0,-65.0,-66.0,-66.0,-67.0,-60.0,-59.0,-58.0,-58.0,-58.0,-58.0,-58.0,-59.0,-58.0,-58.0,-58.0,-57.0,-60.0,-62.24,8.036317564656091,-94.0,-54.0,-59.5,1.0,50.0,-78.0,-79.0,-79.0,-77.0,-77.0,-78.0,-79.0,-78.0,-77.0,-79.0,-79.0,-58.0,-58.0,-59.0,-53.0,-53.0,-53.0,-61.0,-60.0,-61.0,-58.0,-58.0,-58.0,-60.0,-59.0,-59.0,-59.0,-59.0,-56.0,-56.0,-56.0,-57.0,-57.0,-57.0,-57.0,-58.0,-58.0,-57.0,-57.0,-57.0,-58.0,-59.0,-59.0,-59.0,-58.0,-58.0,-59.0,-59.0,-62.0,-62.0,-62.44,8.560747630902338,-79.0,-53.0,-59.0,1.0,50.0
